mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000270176.9	2642	2427	1.2321	0.516769641862	0.999999999997089
ENST00000393470.1	598	504	1.341	0.483584809706	0.995201119186603
ENST00000561996.1	559	279	1.1585	0.386888999148	0.832514905741051
ENST00000533611.1	1395	1395	0.8847	0.231555183405	0.999994747894867
ENST00000570504.5	274	135	1.0335	0.507468161243	0.5766288729773
ENST00000574708.5	385	168	0.7636	0.0536761569888	0.0468837910367692
ENST00000515015.1	493	246	0.9835	0.395978215818	0.665939992607306
ENST00000633490.1	413	351	0.977	0.377033604529	0.849619303408451
ENST00000368012.3	3502	1533	1.196	0.435600802673	0.999999875202634
ENST00000590751.5	1700	429	0.739	0.0915068595411	0.495154809939515
ENST00000465234.1	842	618	0.6929	0.0800293322141	0.871422787172764
ENST00000358635.7	3036	1602	1.1035	0.0891325504406	0.999999366975995
ENST00000587990.1	600	444	1.0201	0.385206781416	0.950734078186362
ENST00000496729.2	910	612	1.0554	0.375451599306	0.992497923265762
ENST00000303902.9	1491	1380	1.1025	-0.0164281271154	0.999986726897643
ENST00000485654.1	428	219	0.8234	0.287029621889	0.305413515768083
ENST00000506382.1	171	150	1.1875	0.620558754046	0.845475114752236
ENST00000610774.1	5178	513	0.6311	0.141998681035	0.660189914059382
ENST00000458246.5	3218	822	0.752	0.18975245127	0.99286222475786
ENST00000524660.1	464	267	0.9547	0.18656147263	0.390868280433428
ENST00000526627.1	2332	519	0.5609	-0.0824152932897	0.328168612206074
ENST00000592674.1	566	222	1.0479	0.255342711328	0.446691217980693
ENST00000637832.1	701	534	1.0065	0.344592147451	0.975108561843068
ENST00000480109.2	2037	1512	1.0766	0.252317530902	0.999999331449042
ENST00000442102.6	1967	1605	1.144	0.434516715146	0.999999938266048
ENST00000441698.6	788	588	1.1618	0.409568270199	0.99449750027559
ENST00000460404.5	942	276	1.0192	0.0999747860152	0.337988201751467
ENST00000558041.5	828	564	1.295	0.426719160038	0.995887378826533
ENST00000601714.5	2086	1758	1.2838	0.538512956061	0.999999996313671
ENST00000460615.1	511	357	0.6566	-0.074344620299	0.114033285185181
ENST00000544258.1	727	309	0.7868	-0.0622349132845	0.111378094142346
ENST00000523808.5	597	588	0.9215	0.0478476581038	0.898815531310334
ENST00000366473.3	948	948	1.1701	0.259360896229	0.999759605150917
ENST00000453776.5	561	273	1.0395	0.410487002185	0.78062396266815
ENST00000569466.1	1417	1026	0.9867	0.464372699954	0.999944093745289
ENST00000503376.1	148	63	0.9258	-0.0455965941208	0.0145275550065191
ENST00000439464.6	3743	558	0.8846	0.163003717115	0.904443061461433
ENST00000634465.1	744	138	1.199	0.605689922275	0.815068361157864
ENST00000417645.1	522	198	1.125	-0.0532967110647	0.110339686825959
ENST00000413946.1	574	72	0.674	-0.33993039423	0.00111940520524538
ENST00000487300.1	611	357	1.1887	0.498504532804	0.962844264056144
ENST00000548932.5	575	408	0.9957	0.238821499023	0.830079952144866
ENST00000507477.1	2487	228	0.4342	-0.273029083737	0.00378059373629164
ENST00000479878.1	784	246	0.9977	0.341158314877	0.596333383053261
ENST00000333811.5	1114	921	0.8478	0.0335835013858	0.996091603628959
ENST00000555641.1	1804	690	1.1937	0.320099294054	0.997127013191091
ENST00000518610.1	379	207	0.9415	0.2303315648	0.291075610117915
ENST00000564514.2	586	282	1.1607	0.463396101552	0.891629014468647
ENST00000426249.1	2665	906	0.9406	0.0908028014565	0.997413787751562
ENST00000556822.1	581	282	1.0135	0.0293915359602	0.262441170596838
ENST00000458542.1	409	327	1.165	0.294182328636	0.833221585723235
ENST00000563066.5	1123	627	0.8031	0.323025243323	0.979231379389016
ENST00000489534.5	610	339	0.871	-0.0403843048477	0.212178397081933
ENST00000598850.5	677	222	1.3126	0.534676696777	0.915861935785792
ENST00000425563.5	1103	978	0.7583	0.276259477119	0.999353392190088
ENST00000492397.1	746	366	0.8683	0.0770044779823	0.422092307384327
ENST00000469337.1	568	387	0.5861	-0.172049035877	0.0721848233768482
ENST00000432847.1	75	39	1.3148	-0.0693187719276	0.0361038998294043
ENST00000480207.5	185	93	0.9803	0.267455693265	0.142349683473562
ENST00000576862.5	788	402	0.743	0.0929244939965	0.438056113869029
ENST00000342644.9	1506	600	1.235	0.629334824041	0.998970710732835
ENST00000526287.1	101	54	0.4812	0.249763492393	0.0170321725982351
ENST00000617617.4	2808	717	1.1486	0.239133690869	0.995721041129642
ENST00000623898.3	563	207	0.6884	0.00245549275846	0.0408732167265793
ENST00000626939.1	2184	1293	1.252	0.369323260092	0.999997902195978
ENST00000436678.1	501	471	0.7669	0.0116342995814	0.531890869083218
ENST00000587919.1	509	117	1.3037	0.774410526679	0.933763332359494
ENST00000421129.1	336	336	0.8778	0.191625114694	0.525217085592491
ENST00000617613.1	718	126	1.0969	-0.09816328531	0.0365206251897632
