AT4G26870.1	100.0	478	1	253	1686	55	532	1.0e-276	953.7
AT4G26870.1	77.1	493	1	253	1686	66	558	2.7e-213	743.0
AT4G26870.1	49.4	476	1	280	1686	31	501	4.6e-128	459.9
AT4G26870.1	49.2	476	1	280	1686	31	501	7.8e-128	459.1
AT4G26870.1	49.4	476	1	280	1686	31	501	1.3e-127	458.4
AT4G26300.3	100.0	611	3	228	2060	32	642	0.0e+00	1232.2
AT4G26300.3	87.5	593	3	282	2060	1	590	6.1e-312	1070.8
AT4G26300.3	47.9	593	3	318	2060	75	660	2.4e-151	537.3
AT4G26300.3	47.4	593	3	318	2060	76	661	4.1e-151	536.6
AT4G26300.3	47.7	593	3	318	2060	75	660	2.0e-150	534.3
AT2G01760.3	88.9	350	3	9	1058	33	382	7.4e-172	604.7
AT2G01760.3	53.4	266	3	24	794	43	305	6.7e-64	246.1
AT2G01760.3	53.4	266	3	24	794	43	305	6.7e-64	246.1
AT2G01760.3	46.8	267	3	15	788	34	289	1.3e-56	221.9
AT2G01760.3	40.3	345	3	12	980	51	390	5.1e-56	219.9
AT2G35100.1	93.7	447	3	138	1478	1	447	5.0e-244	845.1
AT2G35100.1	71.5	389	3	312	1478	64	443	4.3e-163	576.2
AT2G35100.1	26.3	315	3	498	1373	183	478	4.5e-19	97.8
AT2G35100.1	25.6	297	3	516	1346	208	490	7.9e-16	87.0
AT2G35100.1	24.8	326	3	447	1382	155	461	3.0e-15	85.1
AT1G51690.4	100.0	513	2	2219	3757	1	513	8.3e-300	1031.6
AT1G51690.4	77.8	514	2	2219	3757	1	501	3.5e-234	813.5
AT1G51690.4	78.2	499	2	2267	3757	29	525	1.1e-224	781.9
AT1G51690.4	78.2	499	2	2267	3757	29	525	1.1e-224	781.9
AT1G51690.4	73.7	517	2	2228	3757	9	522	1.6e-218	761.5
AT2G01180.8	96.0	327	3	264	1244	1	327	2.2e-186	653.3
AT2G01180.8	63.8	271	3	315	1127	43	313	1.1e-108	395.2
AT2G01180.8	59.0	288	3	339	1199	1	288	2.7e-99	364.0
AT2G01180.8	55.3	282	3	339	1181	1	282	4.9e-93	343.2
AT2G01180.8	38.2	241	3	459	1169	29	259	4.1e-39	164.1
AT1G20823.1	79.6	191	2	188	760	1	191	4.5e-79	296.2
AT1G20823.1	65.2	164	2	188	679	1	157	1.9e-53	211.1
AT1G20823.1	44.4	162	2	212	679	7	155	4.7e-28	126.7
AT1G20823.1	48.1	129	2	335	679	46	166	5.2e-27	123.2
AT1G20823.1	43.5	108	2	335	658	72	176	1.4e-19	98.6
AT1G02010.4	95.6	687	1	271	2331	17	673	0.0e+00	1286.9
AT1G02010.4	64.3	683	1	271	2289	14	657	1.1e-246	854.4
AT1G02010.4	59.4	683	1	271	2292	14	658	1.8e-228	793.9
AT1G02010.4	60.4	679	1	271	2280	14	652	8.4e-226	785.0
AT1G02010.4	57.8	685	1	271	2289	14	653	1.2e-216	754.6
AT1G14940.1	73.8	149	1	52	498	1	149	2.8e-65	250.0
AT1G14940.1	70.5	149	1	52	498	1	149	1.7e-62	240.7
AT1G14940.1	34.2	152	1	49	498	162	313	3.3e-18	93.6
AT1G14940.1	34.7	150	1	55	498	6	155	8.3e-17	89.0
AT1G14940.1	29.4	177	1	1	525	5	179	2.4e-16	87.4
